jogos_orientais,descontos_loja,estabilidade_online,jogos_first_party,dublagem_ptbr,class
true,false,false,true,true,PS4
true,false,true,false,false,PS4
false,true,true,false,false,Xbox One
false,false,true,true,true,Nintendo Switch
false,false,false,false,true,Xbox One
false,true,true,true,false,Xbox One
true,false,true,true,false,Nintendo Switch
true,false,false,false,false,Xbox One
false,false,true,true,true,Nintendo Switch
false,true,false,true,false,PS4
true,false,true,false,false,Nintendo Switch
false,false,false,false,false,PS4
false,false,true,false,false,Xbox One
false,true,false,false,true,PS4
false,true,true,true,true,Nintendo Switch
true,true,false,false,true,Nintendo Switch
false,true,true,true,true,Nintendo Switch
false,true,true,false,true,Nintendo Switch
true,true,false,true,false,Xbox One
false,true,false,false,true,Nintendo Switch
true,true,false,true,false,PS4
true,false,true,false,false,PS4
false,false,true,false,false,PS4
true,true,true,true,true,Nintendo Switch
true,true,true,false,true,Nintendo Switch
false,true,false,false,false,Xbox One
true,true,true,true,true,PS4
false,false,false,true,false,Xbox One
false,false,true,true,true,Nintendo Switch
true,false,true,false,false,Nintendo Switch
false,true,true,true,true,PS4
false,false,true,true,false,PS4
false,false,true,true,false,PS4
true,false,true,true,false,Xbox One
true,false,true,true,false,PS4
false,true,true,true,true,Nintendo Switch
false,true,false,false,true,Nintendo Switch
false,true,false,false,true,PS4
false,true,true,false,false,Xbox One
true,true,true,true,false,Xbox One
false,false,true,true,true,PS4
false,false,false,true,false,PS4
false,true,false,false,true,Nintendo Switch
true,true,true,false,true,Xbox One
false,true,true,false,true,Xbox One
false,true,false,false,true,PS4
true,false,true,true,false,Xbox One
true,false,false,true,false,PS4
true,true,true,false,false,PS4
true,false,false,false,false,PS4
false,false,false,true,true,PS4
false,true,true,true,true,PS4
true,true,true,true,true,Xbox One
false,false,false,true,false,Xbox One
true,true,true,true,false,PS4
true,false,false,true,true,PS4
false,false,true,false,true,Nintendo Switch
false,true,false,true,true,Nintendo Switch
false,true,true,false,false,Nintendo Switch
false,true,true,false,true,Nintendo Switch
false,false,false,true,true,PS4
true,false,false,false,false,PS4
true,false,true,true,false,Nintendo Switch
false,true,true,false,false,Xbox One
true,true,false,true,true,Nintendo Switch
true,true,false,false,false,Xbox One
false,true,false,false,false,Nintendo Switch
